"","CNTSCHID","meanCRT","meanRead","meanMth","meanSci","PRIVATESCH","SCHSIZE"
"1",60800097,13.4281481481481,330.296777777778,364.314818518519,373.305751851852,"public","322"
"2",60800119,11.1841025641026,315.595676923077,331.541841025641,338.638820512821,"public","540"
"3",60800151,33.0784210526316,469.544368421053,448.171228947368,465.588589473684,"private","1375"
