SchoolID,StudentID,STRATUM,StudentBIrthMonth,StudentBirthYear,Gender,OwnRoom,ComputerLaptopPhoneForSchool,EducationalApps,OwnPhonewithInternet,InternetAccess,CarsVansOrTrucks,MopedOrMotorcycles,RoomsWBathShower,RoomsWFlushToilet,MusicalInstruments,ArtWorks,VideoGame,SmartTV,Screens,TVs,PCs,LaptopNotebook,Tablets,EbookReader,PhoneWInternet
60800059,60801623,PHL - stratum 13: REGION 12,November,2006,Male,Yes,Yes,No,Yes,Yes,One,No Response,Two,None,One,Three or more,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,One,1 or 2,1 or 2,1 or 2,1 or 2,None,1 or 2
60800132,60801624,PHL - stratum 14: NCR,March,2006,Female,Yes,Yes,Yes,Yes,Yes,None,None,One,Three or more,Three or more,Three or more,"Philippines :Video game console (PlayStation, Xbox, etc.)-Three or more",Philippines :Smart TV-One,One,1 or 2,None,03-May,None,None,1 or 2
60800043,60801625,PHL - stratum 14: NCR,May,2006,Male,No,Yes,Yes,Yes,Yes,One,One,One,One,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-One",Philippines :Smart TV-One,More than 10,03-May,1 or 2,1 or 2,03-May,None,More than 5
60800098,60801626,PHL - stratum 02: REGION 2,May,2006,Female,No,No,No,No,No,None,None,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,There are no <digital devices> with screens.,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip
60800181,60801628,PHL - stratum 06: REGION 5,January,2006,Male,No,No,Yes,Yes,Yes,None,One,None,No Response,Three or more,One,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-Two,Two,1 or 2,None,None,None,03-May,More than 5
60800072,60801629,PHL - stratum 10: REGION 9,August,2006,Male,Yes,No,No,Yes,Yes,One,Three or more,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,Five,1 or 2,None,None,None,None,1 or 2
60800003,60801630,PHL - stratum 04: REGION 4A,October,2006,Female,No Response,No Response,No Response,No Response,No Response,None,None,None,None,One,One,"Philippines :Video game console (PlayStation, Xbox, etc.)-One",Philippines :Smart TV-One,6 to 10,1 or 2,None,1 or 2,1 or 2,None,More than 5
60800152,60801631,PHL - stratum 16: CARAGA,March,2006,Female,Yes,No,No,Yes,No,None,One,None,None,One,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,One,1 or 2,None,None,None,None,1 or 2
60800090,60801632,PHL - stratum 03: REGION 3,October,2006,Female,No,Yes,No,Yes,Yes,None,None,One,None,None,Two,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,Five,1 or 2,None,1 or 2,None,None,03-May
60800126,60801633,PHL - stratum 06: REGION 5,August,2006,Male,Yes,Yes,Yes,Yes,Yes,None,One,One,One,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-One",Philippines :Smart TV-Two,More than 10,1 or 2,None,03-May,1 or 2,None,More than 5
60800027,60801634,PHL - stratum 07: REGION 6,May,2006,Male,No,Yes,Yes,Yes,Yes,None,One,One,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,There are no <digital devices> with screens.,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip
60800055,60801635,PHL - stratum 01: REGION 1,March,2006,Female,Yes,Yes,Yes,Yes,Yes,Two,None,None,One,One,Two,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,6 to 10,03-May,None,1 or 2,1 or 2,1 or 2,More than 5
60800123,60801636,PHL - stratum 11: REGION 10,April,2006,Male,No,No,No,No,No,None,One,Two,One,One,Two,"Philippines :Video game console (PlayStation, Xbox, etc.)-Two",Philippines :Smart TV-Two,More than 10,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.,I don't know.
60800159,60801637,PHL - stratum 09: REGION 8,February,2006,Female,Yes,No,Yes,Yes,Yes,One,Three or more,One,None,Three or more,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-Two,6 to 10,03-May,None,1 or 2,1 or 2,None,More than 5
60800123,60801638,PHL - stratum 11: REGION 10,July,2006,Male,No,No,Yes,Yes,Yes,None,One,None,One,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,More than 10,1 or 2,None,None,1 or 2,None,1 or 2
60800050,60801639,PHL - stratum 14: NCR,June,2006,Male,No,Yes,Yes,Yes,Yes,None,None,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,Two,1 or 2,None,None,None,None,1 or 2
60800052,60801641,PHL - stratum 12: REGION 11,December,2006,Female,No,Yes,Yes,Yes,No,Three or more,None,None,None,One,Two,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-Three or more,6 to 10,03-May,1 or 2,More than 5,None,1 or 2,More than 5
60800100,60801642,PHL - stratum 07: REGION 6,March,2006,Male,Yes,Yes,No,Yes,Yes,None,One,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,6 to 10,1 or 2,None,1 or 2,1 or 2,None,03-May
60800061,60801643,PHL - stratum 01: REGION 1,August,2006,Female,No,No,No,No,No,None,One,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,One,None,None,None,None,None,1 or 2
60800028,60801644,PHL - stratum 08: REGION 7,September,2006,Female,Yes,No,No,No,No,None,Two,None,None,One,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,Four,1 or 2,None,None,None,None,1 or 2
60800144,60801645,PHL - stratum 06: REGION 5,November,2006,Female,No,No,Yes,Yes,Yes,Two,One,Three or more,Three or more,None,One,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,Three,1 or 2,1 or 2,1 or 2,None,None,1 or 2
60800176,60801646,PHL - stratum 09: REGION 8,February,2006,Male,Yes,No,Yes,No,No,None,None,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,There are no <digital devices> with screens.,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip
60800172,60801647,PHL - stratum 07: REGION 6,March,2006,Male,No,No,No,No,No,None,Two,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,One,None,None,None,None,None,1 or 2
60800022,60801648,PHL - stratum 04: REGION 4A,February,2006,Female,No,Yes,Yes,Yes,Yes,Three or more,Three or more,Three or more,Three or more,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,More than 10,1 or 2,1 or 2,I don't know.,1 or 2,None,More than 5
60800036,60801649,PHL - stratum 04: REGION 4A,August,2006,Male,No,No,No,Yes,No,None,None,None,One,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,One,1 or 2,None,None,1 or 2,None,More than 5
